,Timestamp,WalletBalance,AvailableBalance,RealizedProfit,UnrealizedProfit
0,1750489193077.0,11796.09755848,7447.58087422,4347.7731802,52.59723442
1,1750489194016.0,11796.10133279,7447.58374015,4347.77695451,52.59780567
2,1750489196032.0,11796.15629626,7447.86950074,4347.83191798,52.8623217
3,1750489196953.0,11796.15995263,7447.07972863,4347.83557435,52.02855989
4,1750489198421.0,11796.17375247,7447.08738831,4347.84937419,52.02751193
5,1750489199523.0,11796.17717294,7447.08432506,4347.852794660001,52.02198286
6,1750489200894.0,11796.17917805,7448.55125031,4347.854799770001,53.56485347
7,1750489201658.0,11796.17917805,7448.55125031,4347.854799770001,53.56485347
8,1750489203195.0,11796.20878284,7448.5699461,4347.88440456,53.5649879
9,1750489204032.0,11796.22175705,7448.57813946,4347.89737877,53.56504681
10,1750489205737.0,11796.23083899,7448.66467821,4347.906460710001,53.65009883
11,1750489207213.0,11796.24003889,7448.67048812,4347.9156606100005,53.65014067
12,1750489209403.0,11796.16502437,7448.62311502,4347.8406460900005,53.6497995
13,1750489210249.0,11796.24622846,7453.81903088,4347.921850180001,53.58668262
14,1750489211052.0,11796.24198232,7453.81630357,4347.91760404,53.58666334
15,1750489211707.0,11796.23785414,7439.9762472,4347.913475859999,53.58664458
16,1750489215937.0,11879.54077024,7477.84399431,4431.216391960001,8.97047956
17,1750489217182.0,11879.54136415,11097.69828977,4431.21698587,8.97048
18,1750489218761.0,11879.54124536,11097.66873042,4431.21686708,8.98558174
19,1750489219752.0,11879.54065146,11097.69761617,4431.21627318,8.97047947
20,1750489221716.0,11879.54124536,11096.535331,4431.21686708,8.97047992
21,1750489222506.0,11879.54195805,11097.69883679,4431.21757977,8.97048045
22,1750489225925.0,11879.54172049,11097.15494939,4431.21734221,8.97048027
23,1750489226587.0,11879.54172049,11097.15570463,4431.21734221,8.98558209
24,1750489227479.0,11879.54172049,11097.15570463,4431.21734221,8.98558209
25,1750489228062.0,11879.54219561,11097.15540104,4431.21781733,8.97048064
26,1750489229543.0,11878.72976987,11298.7972491,4430.40539159,6.65360126
27,1750489230132.0,11878.1671754,11406.44885339,4429.84279712,5.0496079
28,1750489231024.0,11878.1671754,11406.44885339,4429.84279712,5.0496079
29,1750489231776.0,11878.16776923,11048.97112356,4429.84339095,5.04960815
30,1750489233390.0,11878.1671754,11048.97015432,4429.84279712,5.05810892
31,1750489234499.0,11878.14184301,11048.94862974,4429.81746473,4.99019885
