2025-06-21 10:07:06 - Order events [contract=BTCUSDT, order_id=4575600641, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.3, last_filled_qty=0.075, canceled_reason=None]
2025-06-21 10:07:06 - Order events [contract=BTCUSDT, order_id=4575601148, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.3, last_filled_qty=0.078, canceled_reason=None]
2025-06-21 10:07:07 - Order events [contract=BTCUSDT, order_id=4575601290, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:07 - Order events [contract=BTCUSDT, order_id=4575601290, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:07 - Order events [contract=BTCUSDT, order_id=4575601290, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.3, last_filled_qty=0.074, canceled_reason=None]
2025-06-21 10:07:12 - Order events [contract=BTCUSDT, order_id=4575601523, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103420.7, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:12 - Order events [contract=BTCUSDT, order_id=4575601523, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:12 - Order events [contract=BTCUSDT, order_id=4575601523, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:12 - Order events [contract=BTCUSDT, order_id=4575601523, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.3, last_filled_qty=0.07, canceled_reason=None]
2025-06-21 10:07:14 - Order events [contract=BTCUSDT, order_id=4575601592, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103420.7, last_filled_qty=0.029, canceled_reason=None]
2025-06-21 10:07:14 - Order events [contract=BTCUSDT, order_id=4575601592, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:14 - Order events [contract=BTCUSDT, order_id=4575601592, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:14 - Order events [contract=BTCUSDT, order_id=4575601592, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.3, last_filled_qty=0.039, canceled_reason=None]
2025-06-21 10:07:17 - Order events [contract=BTCUSDT, order_id=4575601742, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103425.7, last_filled_qty=0.02, canceled_reason=None]
2025-06-21 10:07:17 - Order events [contract=BTCUSDT, order_id=4575601742, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:17 - Order events [contract=BTCUSDT, order_id=4575601742, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:17 - Order events [contract=BTCUSDT, order_id=4575601742, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.3, last_filled_qty=0.046, canceled_reason=None]
2025-06-21 10:07:25 - Order events [contract=BTCUSDT, order_id=4575602523, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103420.7, last_filled_qty=0.065, canceled_reason=None]
2025-06-21 10:07:27 - Order events [contract=BTCUSDT, order_id=4575602770, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103419.4, last_filled_qty=0.063, canceled_reason=None]
2025-06-21 10:07:29 - Order events [contract=BTCUSDT, order_id=4575602857, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103419.4, last_filled_qty=0.061, canceled_reason=None]
2025-06-21 10:07:31 - Order events [contract=BTCUSDT, order_id=4575603086, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103419.4, last_filled_qty=0.057, canceled_reason=None]
2025-06-21 10:07:31 - Order events [contract=BTCUSDT, order_id=4575603086, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103420.7, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:35 - Order events [contract=BTCUSDT, order_id=4575603364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103420.7, last_filled_qty=0.026, canceled_reason=None]
2025-06-21 10:07:35 - Order events [contract=BTCUSDT, order_id=4575603364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103422.0, last_filled_qty=0.005, canceled_reason=None]
2025-06-21 10:07:35 - Order events [contract=BTCUSDT, order_id=4575603364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:35 - Order events [contract=BTCUSDT, order_id=4575603364, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:35 - Order events [contract=BTCUSDT, order_id=4575603364, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.3, last_filled_qty=0.023, canceled_reason=None]
2025-06-21 10:07:36 - Order events [contract=BTCUSDT, order_id=4575603511, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:36 - Order events [contract=BTCUSDT, order_id=4575603511, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:36 - Order events [contract=BTCUSDT, order_id=4575603511, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103426.3, last_filled_qty=0.052, canceled_reason=None]
