2025-06-21 14:41:02 - Order events [contract=BTCUSDT, order_id=4576463580, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103443.9, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 14:41:02 - Order events [contract=BTCUSDT, order_id=4576463580, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103443.9, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 14:41:02 - Order events [contract=BTCUSDT, order_id=4576463580, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103443.9, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 14:41:16 - Order events [contract=BTCUSDT, order_id=4576465036, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103444.0, last_filled_qty=0.082, canceled_reason=None]
2025-06-21 14:41:17 - Order events [contract=BTCUSDT, order_id=4576465113, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103444.0, last_filled_qty=0.079, canceled_reason=None]
2025-06-21 14:41:19 - Order events [contract=BTCUSDT, order_id=4576465187, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103444.0, last_filled_qty=0.076, canceled_reason=None]
2025-06-21 14:41:33 - Order events [contract=BTCUSDT, order_id=4576466010, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103448.3, last_filled_qty=0.069, canceled_reason=None]
2025-06-21 14:41:50 - Order events [contract=BTCUSDT, order_id=4576466930, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103469.0, last_filled_qty=0.067, canceled_reason=None]
2025-06-21 14:41:51 - Order events [contract=BTCUSDT, order_id=4576467013, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103469.0, last_filled_qty=0.067, canceled_reason=None]
2025-06-21 14:41:56 - Order events [contract=BTCUSDT, order_id=4576467198, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103469.0, last_filled_qty=0.067, canceled_reason=None]
2025-06-21 14:41:57 - Order events [contract=BTCUSDT, order_id=4576467228, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103469.0, last_filled_qty=0.066, canceled_reason=None]
2025-06-21 14:41:59 - Order events [contract=BTCUSDT, order_id=4576467328, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103469.0, last_filled_qty=0.064, canceled_reason=None]
2025-06-21 14:42:00 - Order events [contract=BTCUSDT, order_id=4576467392, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103469.0, last_filled_qty=0.043, canceled_reason=None]
