2025-06-22 00:14:38 - Order events [contract=BTCUSDT, order_id=4578788573, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103514.3, last_filled_qty=0.103, canceled_reason=None]
2025-06-22 00:15:29 - Order events [contract=BTCUSDT, order_id=4578791375, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103525.8, last_filled_qty=0.09, canceled_reason=None]
2025-06-22 00:15:29 - Order events [contract=BTCUSDT, order_id=4578791375, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103526.1, last_filled_qty=0.007, canceled_reason=None]
2025-06-22 00:15:29 - Order events [contract=BTCUSDT, order_id=4578791375, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103526.2, last_filled_qty=0.006, canceled_reason=None]
2025-06-22 00:15:33 - Order events [contract=BTCUSDT, order_id=4578791547, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103525.6, last_filled_qty=0.053, canceled_reason=None]
2025-06-22 00:15:33 - Order events [contract=BTCUSDT, order_id=4578791547, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103525.0, last_filled_qty=0.049, canceled_reason=None]
2025-06-22 00:15:44 - Order events [contract=BTCUSDT, order_id=4578792030, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103524.8, last_filled_qty=0.02, canceled_reason=None]
2025-06-22 00:15:44 - Order events [contract=BTCUSDT, order_id=4578792030, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103526.3, last_filled_qty=0.02, canceled_reason=None]
2025-06-22 00:15:44 - Order events [contract=BTCUSDT, order_id=4578792030, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103528.4, last_filled_qty=0.062, canceled_reason=None]
2025-06-22 00:15:51 - Order events [contract=BTCUSDT, order_id=4578792359, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103524.8, last_filled_qty=0.006, canceled_reason=None]
2025-06-22 00:15:51 - Order events [contract=BTCUSDT, order_id=4578792359, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103528.4, last_filled_qty=0.081, canceled_reason=None]
2025-06-22 00:15:51 - Order events [contract=BTCUSDT, order_id=4578792359, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103529.3, last_filled_qty=0.015, canceled_reason=None]
2025-06-22 00:15:55 - Order events [contract=BTCUSDT, order_id=4578792918, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103527.9, last_filled_qty=0.102, canceled_reason=None]
2025-06-22 00:16:00 - Order events [contract=BTCUSDT, order_id=4578793191, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=103527.9, last_filled_qty=0.102, canceled_reason=None]
