2025-06-22 13:31:21 - Order events [contract=BTCUSDT, order_id=4584662255, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102765.0, last_filled_qty=0.002, canceled_reason=None]
2025-06-22 13:31:21 - Order events [contract=BTCUSDT, order_id=4584662255, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102764.8, last_filled_qty=0.083, canceled_reason=None]
2025-06-22 13:31:40 - Order events [contract=BTCUSDT, order_id=4584663312, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102781.6, last_filled_qty=0.002, canceled_reason=None]
2025-06-22 13:31:40 - Order events [contract=BTCUSDT, order_id=4584663312, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102781.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-22 13:31:40 - Order events [contract=BTCUSDT, order_id=4584663312, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102781.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-22 13:31:40 - Order events [contract=BTCUSDT, order_id=4584663312, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102781.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-22 13:31:40 - Order events [contract=BTCUSDT, order_id=4584663312, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102781.6, last_filled_qty=0.055, canceled_reason=None]
2025-06-22 13:31:40 - Order events [contract=BTCUSDT, order_id=4584663312, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102781.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-22 13:31:40 - Order events [contract=BTCUSDT, order_id=4584663312, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102781.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-22 13:31:40 - Order events [contract=BTCUSDT, order_id=4584663312, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102781.6, last_filled_qty=0.002, canceled_reason=None]
2025-06-22 13:31:40 - Order events [contract=BTCUSDT, order_id=4584663312, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102781.6, last_filled_qty=0.012, canceled_reason=None]
2025-06-22 13:31:40 - Order events [contract=BTCUSDT, order_id=4584663312, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102781.6, last_filled_qty=0.002, canceled_reason=None]
2025-06-22 13:31:40 - Order events [contract=BTCUSDT, order_id=4584663312, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102782.0, last_filled_qty=0.004, canceled_reason=None]
2025-06-22 13:31:40 - Order events [contract=BTCUSDT, order_id=4584663312, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102782.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-22 13:31:40 - Order events [contract=BTCUSDT, order_id=4584663312, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=102782.6, last_filled_qty=0.001, canceled_reason=None]
2025-06-22 13:31:42 - Order events [contract=BTCUSDT, order_id=4584663691, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=102784.6, last_filled_qty=0.048, canceled_reason=None]
